JMAcode,pref,city,lat,lng,rank,shindo
010101,北海道,石狩市,43.171384,141.315520,2,2
010102,北海道,当別町,43.223683,141.517072,2,2
010103,北海道,新篠津村,43.225424,141.649216,3,3
010201,北海道,札幌中央区,43.055460,141.340956,2,2
010202,北海道,札幌北区,43.090850,141.340831,2,2
010203,北海道,札幌東区,43.076069,141.363722,2,2
010204,北海道,札幌白石区,43.047687,141.405078,2,2
010205,北海道,札幌豊平区,43.031291,141.380106,2,2
010206,北海道,札幌南区,42.990031,141.353497,1,1
010207,北海道,札幌西区,43.074470,141.300889,2,2
010208,北海道,札幌厚別区,43.036408,141.474789,2,2
010209,北海道,札幌手稲区,43.121944,141.245632,2,2
010210,北海道,札幌清田区,42.999636,141.443830,2,2
010211,北海道,江別市,43.103745,141.536247,2,2
010301,北海道,千歳市,42.820958,141.650876,3,3
010302,北海道,恵庭市,42.882562,141.577815,2,2
010303,北海道,北広島市,42.985630,141.563543,2,2
010401,北海道,小樽市,43.190717,140.994662,1,1
010404,北海道,余市町,43.195232,140.783467,1,1
010405,北海道,赤井川村,43.083490,140.813481,2,2
010501,北海道,ニセコ町,42.804705,140.687493,2,2
010502,北海道,真狩村,42.762971,140.803744,2,2
010503,北海道,留寿都村,42.737360,140.875591,2,2
010504,北海道,喜茂別町,42.795472,140.934500,1,1
010506,北海道,倶知安町,42.901829,140.758698,2,2
010602,北海道,寿都町,42.790979,140.228980,1,1
010603,北海道,黒松内町,42.667864,140.307540,2,2
010604,北海道,蘭越町,42.809075,140.528312,1,1
010606,北海道,岩内町,42.979785,140.514753,2,2
010701,北海道,深川市,43.723260,142.053538,2,2
010702,北海道,妹背牛町,43.700112,141.961711,2,2
010703,北海道,秩父別町,43.767013,141.957958,2,2
010704,北海道,北竜町,43.731356,141.879022,2,2
010801,北海道,芦別市,43.518166,142.189436,2,2
010803,北海道,滝川市,43.557795,141.910190,2,2
010804,北海道,砂川市,43.494843,141.903465,2,2
010806,北海道,奈井江町,43.425106,141.882788,2,2
010808,北海道,浦臼町,43.430322,141.818837,2,2
010809,北海道,新十津川町,43.548547,141.877032,2,2
010810,北海道,雨竜町,43.643924,141.888990,2,2
010901,北海道,夕張市,43.056734,141.973896,1,1
010902,北海道,岩見沢市,43.196206,141.775933,2,2
010903,北海道,美唄市,43.332881,141.853785,2,2
010904,北海道,三笠市,43.245435,141.875327,2,2
010905,北海道,南幌町,43.063727,141.650069,3,3
010906,北海道,由仁町,42.999605,141.790338,2,2
010907,北海道,長沼町,43.010353,141.695252,3,3
010908,北海道,栗山町,43.056309,141.784255,2,2
010909,北海道,月形町,43.338436,141.669451,2,2
011001,北海道,八雲町,42.255999,140.265281,2,2
011002,北海道,長万部町,42.513688,140.380633,2,2
011101,北海道,函館市,41.768793,140.728810,3,3
011102,北海道,北斗市,41.824060,140.652903,3,3
011103,北海道,七飯町,41.895720,140.694280,2,2
011104,北海道,鹿部町,42.038487,140.815939,2,2
011105,北海道,森町,42.104795,140.576324,2,2
011201,北海道,松前町,41.430037,140.110435,1,1
011202,北海道,福島町,41.483802,140.251326,2,2
011203,北海道,知内町,41.598356,140.418963,3,3
011204,北海道,木古内町,41.678264,140.437568,3,3
011301,北海道,江差町,41.869156,140.127460,2,2
011302,北海道,上ノ国町,41.801082,140.121348,3,3
011303,北海道,厚沢部町,41.920901,140.225472,3,3
011304,北海道,乙部町,41.968501,140.135719,2,2
011306,北海道,せたな町,42.417161,139.882988,2,2
011501,北海道,伊達市,42.471851,140.864679,2,2
011502,北海道,豊浦町,42.583447,140.711832,1,1
011503,北海道,壮瞥町,42.552283,140.886014,2,2
011504,北海道,洞爺湖町,42.551269,140.764098,2,2
011601,北海道,室蘭市,42.315231,140.973799,3,3
011602,北海道,苫小牧市,42.634302,141.605372,2,2
011603,北海道,登別市,42.412760,141.106632,2,2
011604,北海道,白老町,42.551260,141.355955,2,2
011605,北海道,厚真町,42.723662,141.877935,3,3
011606,北海道,安平町,42.762815,141.818017,3,3
011607,北海道,むかわ町,42.574807,141.926750,3,3
011701,北海道,日高町,42.480290,142.074398,2,2
011702,北海道,平取町,42.585081,142.128523,3,3
011801,北海道,新冠町,42.362406,142.318332,3,3
011802,北海道,新ひだか町,42.341281,142.368591,3,3
011901,北海道,浦河町,42.168516,142.768120,3,3
011902,北海道,様似町,42.127853,142.933550,3,3
011903,北海道,えりも町,42.016280,143.148443,2,2
012001,北海道,士別市,44.178734,142.400404,1,1
012002,北海道,名寄市,44.355938,142.463167,1,1
012004,北海道,剣淵町,44.095677,142.361221,2,2
012005,北海道,下川町,44.302503,142.635308,1,1
012101,北海道,旭川市,43.770636,142.364819,2,2
012104,北海道,当麻町,43.828177,142.508366,2,2
012109,北海道,美瑛町,43.588187,142.466972,2,2
012201,北海道,富良野市,43.342140,142.383225,2,2
012202,北海道,上富良野町,43.455661,142.467073,2,2
012203,北海道,中富良野町,43.405671,142.425136,2,2
012204,北海道,南富良野町,43.163979,142.568488,2,2
012205,北海道,占冠村,42.979779,142.398357,2,2
012302,北海道,羽幌町,44.360683,141.697250,1,1
012402,北海道,増毛町,43.856033,141.525198,2,2
012502,北海道,猿払村,45.330616,142.109192,2,2
012801,北海道,網走市,44.020632,144.273398,1,1
012802,北海道,美幌町,43.823782,144.107042,2,2
012803,北海道,津別町,43.706453,144.025032,2,2
012804,北海道,斜里町,43.911513,144.670605,2,2
012805,北海道,清里町,43.835216,144.594562,2,2
012807,北海道,大空町,43.911850,144.172709,2,2
012901,北海道,北見市,43.804031,143.895876,2,2
012902,北海道,訓子府町,43.725255,143.741730,2,2
012903,北海道,置戸町,43.676323,143.586397,1,1
012904,北海道,佐呂間町,44.017756,143.774506,1,1
013001,北海道,紋別市,44.356484,143.354503,1,1
013002,北海道,遠軽町,44.061953,143.527947,1,1
013003,北海道,湧別町,44.151598,143.572894,2,2
013005,北海道,興部町,44.469878,143.123891,1,1
013101,北海道,上士幌町,43.232548,143.296189,2,2
013102,北海道,鹿追町,43.099102,142.989043,3,3
013103,北海道,新得町,43.079796,142.838737,2,2
013104,北海道,足寄町,43.244801,143.553905,2,2
013105,北海道,陸別町,43.468981,143.747243,2,2
013201,北海道,帯広市,42.923899,143.196103,3,3
013202,北海道,音更町,42.994143,143.197960,3,3
013203,北海道,士幌町,43.168027,143.241377,2,2
013204,北海道,清水町,43.011356,142.884540,3,3
013205,北海道,芽室町,42.911860,143.050863,3,3
013206,北海道,幕別町,42.908234,143.355969,3,3
013207,北海道,池田町,42.928955,143.448355,3,3
013208,北海道,豊頃町,42.801052,143.505919,2,2
013209,北海道,本別町,43.124712,143.610573,2,2
013210,北海道,浦幌町,42.808927,143.658396,3,3
013301,北海道,中札内村,42.697614,143.132443,2,2
013302,北海道,更別村,42.650351,143.187858,3,3
013303,北海道,大樹町,42.497540,143.278814,3,3
013304,北海道,広尾町,42.285838,143.311496,2,2
013401,北海道,弟子屈町,43.485348,144.459221,3,3
013501,北海道,釧路市,42.984854,144.381356,3,3
013502,北海道,釧路町,42.996045,144.466032,3,3
013503,北海道,厚岸町,43.051871,144.847360,3,3
013504,北海道,浜中町,43.077145,145.129369,3,3
013505,北海道,標茶町,43.303440,144.600779,3,3
013506,北海道,鶴居村,43.229887,144.321216,2,2
013507,北海道,白糠町,42.956177,144.071805,3,3
013601,北海道,中標津町,43.555242,144.971391,3,3
013602,北海道,標津町,43.661387,145.131319,3,3
013603,北海道,羅臼町,44.021876,145.189620,2,2
013701,北海道,別海町,43.393787,145.117271,3,3
013801,北海道,根室市,43.330076,145.582790,3,3
020101,青森県,青森市,40.822072,140.747365,3,3
020102,青森県,五所川原市,40.808002,140.440090,3,3
020103,青森県,つがる市,40.808639,140.380059,3,3
020104,青森県,平内町,40.926031,140.955920,3,3
020105,青森県,今別町,41.181757,140.481654,3,3
020106,青森県,蓬田村,40.971714,140.655966,3,3
020107,青森県,外ヶ浜町,41.043159,140.632296,4,4
020108,青森県,板柳町,40.695894,140.457324,3,3
020109,青森県,鶴田町,40.758605,140.428382,3,3
020110,青森県,中泊町,40.965179,140.439840,3,3
020201,青森県,弘前市,40.603124,140.463922,3,3
020202,青森県,黒石市,40.642632,140.594645,3,3
020203,青森県,平川市,40.584011,140.566478,4,4
020204,青森県,鰺ヶ沢町,40.779913,140.208695,3,3
020205,青森県,深浦町,40.647895,139.927375,3,3
020206,青森県,西目屋村,40.576709,140.296288,3,3
020207,青森県,藤崎町,40.656069,140.502811,4,4
020208,青森県,大鰐町,40.518188,140.567828,2,2
020209,青森県,田舎館村,40.631252,140.550116,3,3
020301,青森県,八戸市,40.512284,141.488399,4,4
020302,青森県,十和田市,40.612703,141.205908,4,4
020303,青森県,三沢市,40.683134,141.368976,4,4
020304,青森県,野辺地町,40.864469,141.128757,4,4
020305,青森県,七戸町,40.697416,141.151021,4,4
020306,青森県,六戸町,40.609521,141.324949,4,4
020307,青森県,横浜町,41.083147,141.247793,3,3
020308,青森県,東北町,40.727876,141.257882,4,4
020309,青森県,六ヶ所村,40.967344,141.374552,3,3
020310,青森県,おいらせ町,40.599107,141.397797,5,5弱
020311,青森県,三戸町,40.378407,141.258745,4,4
020312,青森県,五戸町,40.531225,141.307790,4,4
020313,青森県,田子町,40.339962,141.152050,4,4
020314,青森県,南部町,40.466593,141.381986,4,4
020315,青森県,階上町,40.452489,141.620851,5,5弱
020316,青森県,新郷村,40.465626,141.173464,3,3
020401,青森県,むつ市,41.292746,141.183476,3,3
020402,青森県,大間町,41.526771,140.907438,3,3
020403,青森県,東通村,41.277787,141.328936,4,4
